Start	End	Biotype	Strand	Name	Product	Bnb	JWnb	ECKnb
42403	43173	protein_coding	D	fixA	predicted electron transfer flavoprotein subunit%2C ETFP adenine nucleotide-binding domain	b0041	JW0040	ECK0042
43188	44129	protein_coding	D	fixB	predicted electron transfer flavoprotein%2C NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	b0042	JW0041	ECK0043
44180	45466	protein_coding	D	fixC	predicted oxidoreductase%2C FAD/NAD(P)-binding domain	b0043	JW0042	ECK0044
45463	45750	protein_coding	D	fixX	predicted 4Fe-4S ferredoxin-type protein	b0044	JW0043	ECK0045
45807	47138	protein_coding	D	yaaU	predicted transporter	b0045	JW0044	ECK0046
47246	47776	protein_coding	D	kefF	flavoprotein subunit for the KefC potassium efflux system	b0046	JW0045	ECK0047
47769	49631	protein_coding	D	kefC	potassium:proton antiporter	b0047	JW0046	ECK0048
49823	50302	protein_coding	D	folA	dihydrofolate reductase	b0048	JW0047	ECK0049
50380	51222	protein_coding	C	apaH	diadenosine tetraphosphatase	b0049	JW0048	ECK0050
51229	51606	protein_coding	C	apaG	protein associated with Co2+ and Mg2+ efflux	b0050	JW0049	ECK0051
51609	52430	protein_coding	C	ksgA	S-adenosylmethionine-6-N'%2CN'-adenosyl (rRNA) dimethyltransferase	b0051	JW0050	ECK0052
52427	53416	protein_coding	C	pdxA	4-hydroxy-L-threonine phosphate dehydrogenase%2C NAD-dependent	b0052	JW0051	ECK0053
53416	54702	protein_coding	C	surA	peptidyl-prolyl cis-trans isomerase	b0053	JW0052	ECK0054
54755	57109	protein_coding	C	imp	exported protein required for envelope biosynthesis and integrity	b0054	JW0053	ECK0055
57364	58179	protein_coding	D	djlA	DnaJ-like protein%2C membrane anchored	b0055	JW0054	ECK0056
58474	59124	protein_coding	D	yabP	hypothetical protein	b0056	JW0055	ECK0057
59121	59279	protein_coding	D	yabQ	hypothetical protein	b0057	JW0056	ECK0058
59687	60346	protein_coding	C	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32)	b0058	JW0057	ECK0059
60358	63264	protein_coding	C	hepA	RNA polymerase-associated helicase protein	b0059	JW0058	ECK0060
63429	65780	protein_coding	C	polB	DNA polymerase II	b0060	JW0059	ECK0061
65855	66550	protein_coding	C	araD	L-ribulose-5-phosphate 4-epimerase	b0061	JW0060	ECK0062
66835	68337	protein_coding	C	araA	L-arabinose isomerase	b0062	JW0061	ECK0063
68348	70048	protein_coding	C	araB	L-ribulokinase	b0063	JW0062	ECK0064
70387	71265	protein_coding	D	araC	DNA-binding transcriptional dual regulator	b0064	JW0063	ECK0065
71351	72115	protein_coding	D	yabI	conserved inner membrane protein	b0065	JW5005	ECK0066
72229	72927	protein_coding	C	thiQ	thiamin transporter subunit	b0066	JW0065	ECK0067
72911	74521	protein_coding	C	thiP	fused subunits of thiamin transporter and membrane components of ABC superfamily	b0067	JW0066	ECK0068
74497	75480	protein_coding	C	tbpA	thiamin transporter subunit	b0068	JW0067	ECK0069
75644	77299	protein_coding	C	sgrR	DNA-binding transcriptional regulator	b0069	JW0068	ECK0070
77367	77593	misc_RNA	D	sgrS		b4577	JWR0259	ECK0071
77621	78799	protein_coding	D	setA	broad specificity sugar efflux system	b0070	JW0069	ECK0072
78848	79453	protein_coding	C	leuD	3-isopropylmalate isomerase subunit	b0071	JW0070	ECK0073
79464	80864	protein_coding	C	leuC	3-isopropylmalate isomerase subunit%2C dehydratase component	b0072	JW0071	ECK0074
80867	81958	protein_coding	C	leuB	3-isopropylmalate dehydrogenase	b0073	JW5807	ECK0075
81958	83529	protein_coding	C	leuA	2-isopropylmalate synthase	b0074	JW0073	ECK0076
83622	83708	protein_coding	C	leuL	leu operon leader peptide	b0075	JW0074	ECK0077
84368	85312	protein_coding	D	leuO	DNA-binding transcriptional activator	b0076	JW0075	ECK0078
85630	87354	protein_coding	D	ilvI	acetolactate synthase III%2C large subunit	b0077	JW0076	ECK0079
87357	87848	protein_coding	D	ilvH	acetolactate synthase III%2C thiamin-dependent%2C small subunit	b0078	JW0077	ECK0080
88028	89032	protein_coding	D	fruR	DNA-binding transcriptional dual regulator	b0080	JW0078	ECK0081
89634	90092	protein_coding	D	mraZ	conserved hypothetical protein	b0081	JW0079	ECK0082
90094	91035	protein_coding	D	mraW	S-adenosyl-dependent methyltransferase activity on membrane-located substrates	b0082	JW0080	ECK0083
91032	91397	protein_coding	D	ftsL	membrane bound cell division protein at septum containing leucine zipper motif	b0083	JW0081	ECK0084
91413	93179	protein_coding	D	ftsI	transpeptidase involved in septal peptidoglycan synthesis	b0084	JW0082	ECK0085
93166	94653	protein_coding	D	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	b0085	JW0083	ECK0086
94650	96008	protein_coding	D	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	b0086	JW0084	ECK0087
96002	97084	protein_coding	D	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase	b0087	JW0085	ECK0088
97087	98403	protein_coding	D	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	b0088	JW0086	ECK0089
98403	99647	protein_coding	D	ftsW	integral membrane protein involved in stabilising FstZ ring during cell division	b0089	JW0087	ECK0090
99644	100711	protein_coding	D	murG	N-acetylglucosaminyl transferase	b0090	JW0088	ECK0091
100765	102240	protein_coding	D	murC	UDP-N-acetylmuramate:L-alanine ligase	b0091	JW0089	ECK0092
102233	103153	protein_coding	D	ddlB	D-Alanine:D-alanine ligase	b0092	JW0090	ECK0093
103155	103985	protein_coding	D	ftsQ	membrane anchored protein involved in growth of wall at septum	b0093	JW0091	ECK0094
103982	105244	protein_coding	D	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	b0094	JW0092	ECK0095
105305	106456	protein_coding	D	ftsZ	GTP-binding tubulin-like cell division protein	b0095	JW0093	ECK0096
106557	107474	protein_coding	D	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase	b0096	JW0094	ECK0097
107705	108217	protein_coding	D	secM	regulator of secA translation	b0097	JW5007	ECK0098
108279	110984	protein_coding	D	secA	preprotein translocase subunit%2C ATPase that targets protein precursors to the SecYE core translocon	b0098	JW0096	ECK0099
111044	111433	protein_coding	D	mutT	nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP	b0099	JW0097	ECK0100
111649	111846	protein_coding	C	yacG	conserved hypothetical protein	b0101	JW5008	ECK0101
111856	112599	protein_coding	C	yacF	conserved hypothetical protein	b0102	JW0099	ECK0102
112599	113219	protein_coding	C	coaE	dephospho-CoA kinase	b0103	JW0100	ECK0103
113444	114487	protein_coding	D	guaC	GMP reductase	b0104	JW0101	ECK0104
114522	115724	protein_coding	C	hofC	assembly protein in type IV pilin biogenesis%2C transmembrane protein	b0106	JW0102	ECK0105
115714	117099	protein_coding	C	hofB	conserved hypothetical protein with nucleoside triphosphate hydrolase domain	b0107	JW0103	ECK0106
117109	117549	protein_coding	C	ppdD	predicted major pilin subunit	b0108	JW0104	ECK0107
117752	118645	protein_coding	C	nadC	quinolinate phosphoribosyltransferase	b0109	JW0105	ECK0108
118733	119284	protein_coding	D	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase	b0110	JW0106	ECK0109
119281	120135	protein_coding	D	ampE	predicted inner membrane protein	b0111	JW0107	ECK0110
120178	121551	protein_coding	C	aroP	aromatic amino acid transporter	b0112	JW0108	ECK0111
122092	122856	protein_coding	D	pdhR	DNA-binding transcriptional dual regulator	b0113	JW0109	ECK0112
123017	125680	protein_coding	D	aceE	pyruvate dehydrogenase%2C decarboxylase component E1%2C thiamin-binding	b0114	JW0110	ECK0113
125695	127587	protein_coding	D	aceF	pyruvate dehydrogenase%2C dihydrolipoyltransacetylase component E2	b0115	JW0111	ECK0114
127912	129336	protein_coding	D	lpd	lipoamide dehydrogenase%2C E3 component is part of three enzyme complexes	b0116	JW0112	ECK0115
129407	131260	protein_coding	C	yacH	hypothetical protein	b0117	JW0113	ECK0116
131615	134212	protein_coding	D	acnB	bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase	b0118	JW0114	ECK0117
134388	134750	protein_coding	D	yacL	conserved hypothetical protein	b0119	JW0115	ECK0118
134788	135582	protein_coding	C	speD	S-adenosylmethionine decarboxylase	b0120	JW0116	ECK0119
135598	136464	protein_coding	C	speE	spermidine synthase	b0121	JW0117	ECK0120
136570	136917	protein_coding	C	yacC	hypothetical protein	b0122	JW0118	ECK0121
137083	138633	protein_coding	D	cueO	multicopper oxidase (laccase)	b0123	JW0119	ECK0122
138835	141225	protein_coding	C	gcd	glucose dehydrogenase	b0124	JW0120	ECK0123
141431	141967	protein_coding	D	hpt	hypoxanthine phosphoribosyltransferase	b0125	JW5009	ECK0124
142008	142670	protein_coding	C	can	carbonic anhydrase	b0126	JW0122	ECK0125
142779	143705	protein_coding	D	yadG	predicted transporter subunit	b0127	JW0123	ECK0126
143702	144472	protein_coding	D	yadH	predicted transporter subunit	b0128	JW0124	ECK0127
144577	145017	protein_coding	D	yadI	predicted PTS Enzyme IIA	b0129	JW0125	ECK0128
145081	146310	protein_coding	D	yadE	predicted polysaccharide deacetylase lipoprotein	b0130	JW0126	ECK0129
146314	146694	protein_coding	C	panD	aspartate 1-decarboxylase	b0131	JW0127	ECK0130
146968	147870	protein_coding	D	yadD	predicted transposase	b0132	JW5010	ECK0131
147944	148795	protein_coding	C	panC	pantothenate synthetase	b0133	JW0129	ECK0132
148807	149601	protein_coding	C	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	b0134	JW0130	ECK0133
149715	150953	protein_coding	C	yadC	predicted fimbrial-like adhesin protein	b0135	JW0131	ECK0134
151003	151599	protein_coding	C	yadK	predicted fimbrial-like adhesin protein	b0136	JW0132	ECK0135
151626	152231	protein_coding	C	yadL	predicted fimbrial-like adhesin protein	b0137	JW0133	ECK0136
152243	152812	protein_coding	C	yadM	predicted fimbrial-like adhesin protein	b0138	JW0134	ECK0137
152829	155426	protein_coding	C	htrE	predicted outer membrane usher protein	b0139	JW0135	ECK0138
155461	156201	protein_coding	C	ecpD	predicted periplasmic pilin chaperone	b0140	JW0136	ECK0139
156299	156883	protein_coding	C	yadN	predicted fimbrial-like adhesin protein	b0141	JW0137	ECK0140
157253	157732	protein_coding	C	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	b0142	JW0138	ECK0141
157729	159126	protein_coding	C	pcnB	poly(A) polymerase I	b0143	JW5808	ECK0142
159186	160112	protein_coding	C	yadB	glutamyl-Q tRNA(Asp) synthetase	b0144	JW5892	ECK0143
160149	160604	protein_coding	C	dksA	transcriptional regulator of rRNA transcription%2C DnaK suppressor protein	b0145	JW0141	ECK0144
160782	161486	protein_coding	C	sfsA	predicted DNA-binding transcriptional regulator	b0146	JW0142	ECK0145
161501	162031	protein_coding	C	ligT	2'-5' RNA ligase	b0147	JW5011	ECK0146
162105	164534	protein_coding	D	hrpB	predicted ATP-dependent helicase	b0148	JW0144	ECK0147
164730	167264	protein_coding	D	mrcB	fused glycosyl transferase and transpeptidase	b0149	JW0145	ECK0148
167484	169727	protein_coding	D	fhuA	ferrichrome outer membrane transporter	b0150	JW0146	ECK0149
169778	170575	protein_coding	D	fhuC	iron-hydroxamate transporter subunit	b0151	JW0147	ECK0150
170575	171465	protein_coding	D	fhuD	iron-hydroxamate transporter subunit	b0152	JW0148	ECK0151
171462	173444	protein_coding	D	fhuB	fused subunits of iron-hydroxamate transporter and membrane components of ABC superfamily transporter	b0153	JW0149	ECK0152
173602	174882	protein_coding	C	hemL	glutamate-1-semialdehyde aminotransferase	b0154	JW0150	ECK0153
175107	176528	protein_coding	D	clcA	chloride channel%2C voltage-gated	b0155	JW5012	ECK0154
176610	176954	protein_coding	D	yadR	conserved hypothetical protein	b0156	JW0152	ECK0155
177001	177624	protein_coding	C	yadS	conserved inner membrane protein	b0157	JW0153	ECK0156
177662	178462	protein_coding	C	btuF	vitamin B12 transporter subunit	b0158	JW0154	ECK0157
178455	179153	protein_coding	C	pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	b0159	JW0155	ECK0158
179237	180754	protein_coding	D	dgt	deoxyguanosine triphosphate triphosphohydrolase	b0160	JW0156	ECK0159
180884	182308	protein_coding	D	degP	serine endoprotease (protease Do)%2C membrane-associated	b0161	JW0157	ECK0160
182463	183620	protein_coding	D	cdaR	DNA-binding transcriptional regulator	b0162	JW5013	ECK0161
183709	184095	protein_coding	C	yaeH	conserved hypothetical protein	b0163	JW0159	ECK0162
184257	185069	protein_coding	C	yaeI	predicted phosphatase	b0164	JW5014	ECK0163
185123	185947	protein_coding	C	dapD	2%2C3%2C4%2C5-tetrahydropyridine-2-carboxylate N-succinyltransferase	b0166	JW0161	ECK0164
185978	188650	protein_coding	C	glnD	uridylyltransferase	b0167	JW0162	ECK0165
188712	189506	protein_coding	C	map	methionine aminopeptidase	b0168	JW0163	ECK0166
189712	189847	misc_RNA	D	tff		b4414	JWR0225	ECK0167
189874	190599	protein_coding	D	rpsB	30S ribosomal subunit protein S2	b0169	JW0164	ECK0168
190857	191708	protein_coding	D	tsf	protein chain elongation factor EF-Ts	b0170	JW0165	ECK0169
191855	192580	protein_coding	D	pyrH	uridylate kinase	b0171	JW0166	ECK0170
192872	193429	protein_coding	D	frr	ribosome recycling factor	b0172	JW0167	ECK0171
193521	194717	protein_coding	D	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase	b0173	JW0168	ECK0172
194903	195664	protein_coding	D	ispU	undecaprenyl pyrophosphate synthase	b0174	JW0169	ECK0173
195677	196534	protein_coding	D	cdsA	CDP-diglyceride synthase	b0175	JW5810	ECK0174
196546	197898	protein_coding	D	yaeL	zinc metallopeptidase	b0176	JW0171	ECK0175
197928	200360	protein_coding	D	yaeT	conserved hypothetical protein	b0177	JW0172	ECK0176
200482	200967	protein_coding	D	hlpA	periplasmic chaperone	b0178	JW0173	ECK0177
200971	201996	protein_coding	D	lpxD	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	b0179	JW0174	ECK0178
202101	202556	protein_coding	D	fabZ	(3R)-hydroxymyristol acyl carrier protein dehydratase	b0180	JW0175	ECK0179
202560	203348	protein_coding	D	lpxA	UDP-N-acetylglucosamine acetyltransferase	b0181	JW0176	ECK0180
203348	204496	protein_coding	D	lpxB	tetraacyldisaccharide-1-P synthase	b0182	JW0177	ECK0181
204493	205089	protein_coding	D	rnhB	ribonuclease HII%2C degrades RNA of DNA-RNA hybrids	b0183	JW0178	ECK0182
205126	208608	protein_coding	D	dnaE	DNA polymerase III alpha subunit	b0184	JW0179	ECK0183
208621	209580	protein_coding	D	accA	acetylCoA carboxylase%2C carboxytransferase%2C alpha subunit	b0185	JW0180	ECK0184
209679	211820	protein_coding	D	ldcC	lysine decarboxylase 2%2C constitutive	b0186	JW0181	ECK0185
211877	212266	protein_coding	D	yaeR	predicted lyase	b0187	JW0182	ECK0186
212331	213629	protein_coding	D	tilS	tRNA(Ile)-lysidine synthetase	b0188	JW0183	ECK0187
213678	213932	protein_coding	C	rof	modulator of Rho-dependent transcription termination	b0189	JW0184	ECK0188
213925	214125	protein_coding	C	yaeP	conserved hypothetical protein	b4406	JW0185	ECK0189
214291	214836	protein_coding	D	yaeQ	conserved hypothetical protein	b0190	JW0186	ECK0190
214833	215255	protein_coding	D	yaeJ	conserved hypothetical protein	b0191	JW0187	ECK0191
215269	215979	protein_coding	D	nlpE	lipoprotein involved with copper homeostasis and adhesion	b0192	JW0188	ECK0192
216179	217003	protein_coding	C	yaeF	predicted lipoprotein	b0193	JW5016	ECK0193
217057	218775	protein_coding	C	proS	prolyl-tRNA synthetase	b0194	JW0190	ECK0194
218887	219594	protein_coding	C	yaeB	conserved hypothetical protein	b0195	JW0191	ECK0195
219591	219995	protein_coding	C	rcsF	predicted outer membrane protein%2C signal	b0196	JW0192	ECK0196
220113	220928	protein_coding	C	metQ	DL-methionine transporter subunit	b0197	JW0193	ECK0197
220968	221621	protein_coding	C	metI	DL-methionine transporter subunit	b0198	JW0194	ECK0198
221614	222645	protein_coding	C	metN	DL-methionine transporter subunit	b0199	JW0195	ECK0199
222833	223408	protein_coding	D	gmhB	D%2CD-heptose 1%2C7-bisphosphate phosphatase	b0200	JW0196	ECK0200
223771	225312	rRNA	D	rrsH		b0201	JWR0001	ECK0201
225381	225457	tRNA	D	ileV		b0202	JWR0002	ECK0202
225500	225575	tRNA	D	alaV		b0203	JWR0003	ECK0203
225759	228662	rRNA	D	rrlH		b0204	JWR0004	ECK0204
228756	228875	rRNA	D	rrfH		b0205	JWR0005	ECK0205
228928	229004	tRNA	D	aspU		b0206	JWR0006	ECK0206
229167	229970	protein_coding	D	dkgB	2%2C5-diketo-D-gluconate reductase B	b0207	JW0197	ECK0207
229967	230881	protein_coding	C	yafC	predicted DNA-binding transcriptional regulator	b0208	JW0198	ECK0208
231122	231922	protein_coding	D	yafD	conserved hypothetical protein	b0209	JW5017	ECK0209
231926	232549	protein_coding	D	yafE	predicted S-adenosyl-L-methionine-dependent methyltransferase	b0210	JW0200	ECK0210
232597	233955	protein_coding	C	mltD	predicted membrane-bound lytic murein transglycosylase D	b0211	JW5018	ECK0211
234027	234782	protein_coding	C	gloB	predicted hydroxyacylglutathione hydrolase	b0212	JW0202	ECK0212
234816	235538	protein_coding	D	yafS	predicted S-adenosyl-L-methionine-dependent methyltransferase	b0213	JW0203	ECK0213
235535	236002	protein_coding	C	rnhA	ribonuclease HI%2C degrades RNA of DNA-RNA hybrids	b0214	JW0204	ECK0214
236067	236798	protein_coding	D	dnaQ	DNA polymerase III epsilon subunit	b0215	JW0205	ECK0215
236931	237007	tRNA	D	aspV		b0216	JWR0007	ECK0216
237335	238120	protein_coding	D	yafT	predicted aminopeptidase	b0217	JW0206	ECK0217
238746	239084	protein_coding	C	yafU	predicted inner membrane protein	b0218	JW0207	ECK0218
239190	239378	protein_coding	D	yafF	conserved hypothetical protein	b4503	JW0208	ECK0219
239419	240189	protein_coding	C	yafV	predicted C-N hydrolase family amidase%2C NAD(P)-binding	b0219	JW5019	ECK0220
240343	240816	protein_coding	D	ivy	inhibitor of vertebrate C-lysozyme	b0220	JW0210	ECK0221
240859	243303	protein_coding	C	fadE	acyl coenzyme A dehydrogenase	b0221	JW5020	ECK0222
243543	244121	protein_coding	D	lpcA	D-sedoheptulose 7-phosphate isomerase	b0222	JW0212	ECK0223
244327	245094	protein_coding	D	yafJ	predicted amidotransfease	b0223	JW0213	ECK0224
245065	245805	protein_coding	C	yafK	conserved hypothetical protein	b0224	JW0214	ECK0225
245961	246239	protein_coding	C	yafQ	predicted toxin of the YafQ-DinJ toxin-antitoxin system	b0225	JW0215	ECK0226
246242	246502	protein_coding	C	dinJ	predicted antitoxin of YafQ-DinJ toxin-antitoxin system	b0226	JW0216	ECK0227
246712	247461	protein_coding	D	yafL	predicted lipoprotein and C40 family peptidase	b0227	JW0217	ECK0228
247637	248134	protein_coding	D	yafM	conserved hypothetical protein	b0228	JW0218	ECK0229
250898	251953	protein_coding	D	dinB	DNA polymerase IV	b0231	JW0221	ECK0232
252005	252298	protein_coding	D	yafN	predicted antitoxin of the YafO-YafN toxin-antitoxin system	b0232	JW0222	ECK0233
252301	252699	protein_coding	D	yafO	predicted toxin of the YafO-YafN toxin-antitoxin system	b0233	JW0223	ECK0234
252709	253161	protein_coding	D	yafP	predicted acyltransferase with acyl-CoA N-acyltransferase domain	b0234	JW0224	ECK0235
253467	253733	protein_coding	D	ykfJ	conserved hypothetical protein	b0235	JW0225	ECK0236
253702	254202	protein_coding	D	prfH	predicted peptide chain release factor	b0236	JW0226	ECK0237
254259	255716	protein_coding	C	pepD	aminoacyl-histidine dipeptidase	b0237	JW0227	ECK0238
255977	256435	protein_coding	D	gpt	guanine-hypoxanthine phosphoribosyltransferase	b0238	JW0228	ECK0239
256527	257771	protein_coding	D	frsA	hydrolase%2C binds to enzyme IIA(Glc)	b0239	JW0229	ECK0240
257829	258230	protein_coding	D	crl	DNA-binding transcriptional regulator	b0240	JW0230	ECK0241
258269	259324	protein_coding	C	phoE	outer membrane phosphoporin protein E	b0241	JW0231	ECK0242
259612	260715	protein_coding	D	proB	gamma-glutamate kinase	b0242	JW0232	ECK0243
260727	261980	protein_coding	D	proA	gamma-glutamylphosphate reductase	b0243	JW0233	ECK0244
262095	262170	tRNA	D	thrW		b0244	JWR0008	ECK0245
262552	262893	protein_coding	C	ykfI	toxin of the YkfI-YafW toxin-antitoxin system	b0245	JW0234	ECK0246
262914	263231	protein_coding	C	yafW	antitoxin of the YkfI-YafW toxin-antitoxin system	b0246	JW0235	ECK0247
263250	263471	protein_coding	C	ykfH	hypothetical protein	b4504	JW5956	ECK0248
263480	263956	protein_coding	C	ykfG	predicted DNA repair protein	b0247	JW0236	ECK0249
263972	264430	protein_coding	C	yafX	hypothetical protein	b0248	JW5022	ECK0250
264528	264767	protein_coding	C	ykfF	hypothetical protein	b0249	JW5023	ECK0251
264844	265311	protein_coding	C	ykfB	hypothetical protein	b0250	JW0239	ECK0252
265334	266191	protein_coding	C	yafY	predicted DNA-binding transcriptional regulator	b0251	JW0240	ECK0253
266408	267229	protein_coding	C	yafZ	conserved hypothetical protein	b0252	JW0242	ECK0254
267321	268184	protein_coding	C	ykfA	predicted GTP-binding protein	b0253	JW0243	ECK0255
268513	269406	protein_coding	C	perR	predicted DNA-binding transcriptional regulator	b0254	JW0244	ECK0256
269466	269870	protein_coding	D	insN	partial regulator of insertion element IS911A	b0255	JW5024	ECK0257
269827	270978	protein_coding	D	insI	IS30 transposase	b0256	JW0246	ECK0258
271054	271479	protein_coding	D	insO	partial transposase of insertion element IS911A	b0257	JW0247	ECK0259
272071	273216	protein_coding	D	ykfC	conserved hypothetical protein	b0258	JW5813	ECK0260
273325	274341	protein_coding	C	insH	IS5 transposase and trans-activator	b0259	JW0250	ECK0261
274549	275952	protein_coding	D	mmuP	predicted S-methylmethionine transporter	b0260	JW5027	ECK0262
275939	276871	protein_coding	D	mmuM	S-methylmethionine:homocysteine methyltransferase	b0261	JW0253	ECK0263
276980	278026	protein_coding	C	afuC	predicted ferric transporter subunit	b0262	JW0254	ECK0264
278038	278400	protein_coding	C	afuB	predicted ferric trasnporter subunit	b0263	JW0255	ECK0265
278402	278905	protein_coding	C	insB-2	IS1 transposase InsAB'	b0264	JW0256	ECK0022
278824	279099	protein_coding	C	insA-2	IS1 repressor protein InsA	b0265	JW0257	ECK0023
279248	279586	protein_coding	C	ykgN	predicted IS protein	b4505	JW0258	ECK0266
279609	279959	protein_coding	C	yagB	conserved hypothetical protein	b0266	JW0259	ECK0267
280053	281207	protein_coding	C	yagA	predicted DNA-binding transcriptional regulator	b0267	JW0260	ECK0268
281481	282410	protein_coding	D	yagE	predicted lyase/synthase	b0268	JW0261	ECK0269
282425	284392	protein_coding	D	yagF	predicted dehydratase	b0269	JW0262	ECK0270
284619	286001	protein_coding	D	yagG	predicted sugar transporter	b0270	JW0263	ECK0271
286013	287623	protein_coding	D	yagH	predicted xylosidase/arabinosidase	b0271	JW0264	ECK0272
287628	288386	protein_coding	C	yagI	predicted DNA-binding transcriptional regulator	b0272	JW0265	ECK0273
288525	289529	protein_coding	C	argF	ornithine carbamoyltransferase 2%2C chain F	b0273	JW0266	ECK0274
289873	290376	protein_coding	C	insB-3	IS1 transposase InsAB'	b0274	JW0268	ECK0022
290295	290570	protein_coding	C	insA-3	IS1 repressor protein InsA	b0275	JW0269	ECK0023
290724	291455	protein_coding	D	yagJ	hypothetical protein	b0276	JW0270	ECK0275
291546	292172	protein_coding	C	yagK	conserved hypothetical protein	b0277	JW0271	ECK0276
