Start	End	CDS	Strand	Name	Locus_tag	Product	Bnb	JWnb	ECKnb
87991	89478	CDS	D	murE	ECMDS42_0078	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	b0085	JW0083	ECK0086
89475	90833	CDS	D	murF	ECMDS42_0079	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	b0086	JW0084	ECK0087
90827	91909	CDS	D	mraY	ECMDS42_0080	phospho-N-acetylmuramoyl-pentapeptide transferase	b0087	JW0085	ECK0088
91912	93228	CDS	D	murD	ECMDS42_0081	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	b0088	JW0086	ECK0089
93228	94472	CDS	D	ftsW	ECMDS42_0082	integral membrane protein	b0089	JW0087	ECK0090
94469	95536	CDS	D	murG	ECMDS42_0083	N-acetylglucosaminyl transferase	b0090	JW0088	ECK0091
95590	97065	CDS	D	murC	ECMDS42_0084	UDP-N-acetylmuramate:L-alanine ligase	b0091	JW0089	ECK0092
97058	97978	CDS	D	ddlB	ECMDS42_0085	D-Alanine:D-alanine ligase	b0092	JW0090	ECK0093
97980	98810	CDS	D	ftsQ	ECMDS42_0086	membrane anchored protein	b0093	JW0091	ECK0094
98807	100069	CDS	D	ftsA	ECMDS42_0087	ATP-binding cell division protein	b0094	JW0092	ECK0095
100130	101281	CDS	D	ftsZ	ECMDS42_0088	GTP-binding tubulin-like cell division protein	b0095	JW0093	ECK0096
101382	102299	CDS	D	lpxC	ECMDS42_0089	UDP-3-O-acyl N-acetylglucosamine deacetylase	b0096	JW0094	ECK0097
102530	103042	CDS	D	secM	ECMDS42_0090	regulator of secA translation	b0097	JW5007	ECK0098
103104	105809	CDS	D	secA	ECMDS42_0091	preprotein translocase subunit%2C ATPase that targets protein precursors to the SecYE core translocon	b0098	JW0096	ECK0099
105869	106258	CDS	D	mutT	ECMDS42_0092	nucleoside triphosphate pyrophosphohydrolase%2C marked preference for dGTP	b0099	JW0097	ECK0100
106474	106671	CDS	C	yacG	ECMDS42_0093	conserved protein	b0101	JW5008	ECK0101
106681	107424	CDS	C	yacF	ECMDS42_0094	conserved protein	b0102	JW0099	ECK0102
107424	108044	CDS	C	coaE	ECMDS42_0095	dephospho-CoA kinase	b0103	JW0100	ECK0103
108269	109312	CDS	D	guaC	ECMDS42_0096	GMP reductase	b0104	JW0101	ECK0104
109347	110549	CDS	C	hofC	ECMDS42_0097	assembly protein in type IV pilin biogenesis%2C transmembrane protein	b0106	JW0102	ECK0105
110539	111924	CDS	C	hofB	ECMDS42_0098	conserved protein with nucleoside triphosphate hydrolase domain	b0107	JW0103	ECK0106
111934	112374	CDS	C	ppdD	ECMDS42_0099	predicted major pilin subunit	b0108	JW0104	ECK0107
112577	113470	CDS	C	nadC	ECMDS42_0100	quinolinate phosphoribosyltransferase	b0109	JW0105	ECK0108
113558	114109	CDS	D	ampD	ECMDS42_0101	N-acetyl-anhydromuranmyl-L-alanine amidase	b0110	JW0106	ECK0109
114106	114960	CDS	D	ampE	ECMDS42_0102	predicted inner membrane protein	b0111	JW0107	ECK0110
115003	116376	CDS	C	aroP	ECMDS42_0103	aromatic amino acid transporter	b0112	JW0108	ECK0111
116917	117681	CDS	D	pdhR	ECMDS42_0104	DNA-binding transcriptional dual regulator	b0113	JW0109	ECK0112
117842	120505	CDS	D	aceE	ECMDS42_0105	pyruvate dehydrogenase%2C decarboxylase component E1%2C thiamin-binding	b0114	JW0110	ECK0113
120520	122412	CDS	D	aceF	ECMDS42_0106	pyruvate dehydrogenase%2C dihydrolipoyltransacetylase component E2	b0115	JW0111	ECK0114
122737	124161	CDS	D	lpd	ECMDS42_0107	lipoamide dehydrogenase%2C E3 component is part of three enzyme complexes	b0116	JW0112	ECK0115
124232	126085	CDS	C	yacH	ECMDS42_0108	predicted protein	b0117	JW0113	ECK0116
126440	129037	CDS	D	acnB	ECMDS42_0109	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	b0118	JW0114	ECK0117
129213	129575	CDS	D	yacL	ECMDS42_0110	conserved protein	b0119	JW0115	ECK0118
129613	130407	CDS	C	speD	ECMDS42_0111	S-adenosylmethionine decarboxylase	b0120	JW0116	ECK0119
130423	131289	CDS	C	speE	ECMDS42_0112	spermidine synthase (putrescine aminopropyltransferase)	b0121	JW0117	ECK0120
131395	131742	CDS	C	yacC	ECMDS42_0113	predicted protein	b0122	JW0118	ECK0121
131908	133458	CDS	D	cueO	ECMDS42_0114	multicopper oxidase	b0123	JW0119	ECK0122
133660	136050	CDS	C	gcd	ECMDS42_0115	glucose dehydrogenase	b0124	JW0120	ECK0123
136256	136792	CDS	D	hpt	ECMDS42_0116	hypoxanthine phosphoribosyltransferase	b0125	JW5009	ECK0124
136833	137495	CDS	C	can	ECMDS42_0117	carbonic anhydrase	b0126	JW0122	ECK0125
137604	138530	CDS	D	yadG	ECMDS42_0118	predicted transporter subunit	b0127	JW0123	ECK0126
138527	139297	CDS	D	yadH	ECMDS42_0119	predicted transporter subunit	b0128	JW0124	ECK0127
139402	139842	CDS	D	yadI	ECMDS42_0120	predicted PTS Enzyme IIA	b0129	JW0125	ECK0128
139906	141135	CDS	D	yadE	ECMDS42_0121	predicted polysaccharide deacetylase lipoprotein	b0130	JW0126	ECK0129
141139	141519	CDS	C	panD	ECMDS42_0122	aspartate 1-decarboxylase	b0131	JW0127	ECK0130
141793	142695	CDS	D	yadD	ECMDS42_0123	predicted transposase	b0132	JW5010	ECK0131
142769	143620	CDS	C	panC	ECMDS42_0124	pantothenate synthetase	b0133	JW0129	ECK0132
143632	144426	CDS	C	panB	ECMDS42_0125	3-methyl-2-oxobutanoate hydroxymethyltransferase	b0134	JW0130	ECK0133
144540	145778	CDS	C	yadC	ECMDS42_0126	predicted fimbrial-like adhesin protein	b0135	JW0131	ECK0134
145828	146424	CDS	C	yadK	ECMDS42_0127	predicted fimbrial-like adhesin protein	b0136	JW0132	ECK0135
146451	147056	CDS	C	yadL	ECMDS42_0128	predicted fimbrial-like adhesin protein	b0137	JW0133	ECK0136
147068	147637	CDS	C	yadM	ECMDS42_0129	predicted fimbrial-like adhesin protein	b0138	JW0134	ECK0137
147654	150251	CDS	C	htrE	ECMDS42_0130	predicted outer membrane usher protein	b0139	JW0135	ECK0138
150286	151026	CDS	C	ecpD	ECMDS42_0131	predicted periplasmic pilin chaperone	b0140	JW0136	ECK0139
151124	151708	CDS	C	yadN	ECMDS42_0132	predicted fimbrial-like adhesin protein	b0141	JW0137	ECK0140
152078	152557	CDS	C	folK	ECMDS42_0133	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase	b0142	JW0138	ECK0141
152554	153951	CDS	C	pcnB	ECMDS42_0134	poly(A) polymerase I	b0143	JW5808	ECK0142
154011	154937	CDS	C	yadB	ECMDS42_0135	glutamyl-Q tRNA(Asp) synthetase	b0144	JW5892	ECK0143
154974	155429	CDS	C	dksA	ECMDS42_0136	transcriptional regulator of rRNA transcription%2C DnaK suppressor protein	b0145	JW0141	ECK0144
155607	156311	CDS	C	sfsA	ECMDS42_0137	predicted DNA-binding transcriptional regulator	b0146	JW0142	ECK0145
156326	156856	CDS	C	ligT	ECMDS42_0138	2'-5' RNA ligase	b0147	JW5011	ECK0146
156930	159359	CDS	D	hrpB	ECMDS42_0139	predicted ATP-dependent helicase	b0148	JW0144	ECK0147
159555	162089	CDS	D	mrcB	ECMDS42_0140	fused glycosyl transferase and transpeptidase	b0149	JW0145	ECK0148
162463	163743	CDS	C	hemL	ECMDS42_0141	glutamate-1-semialdehyde aminotransferase	b0154	JW0150	ECK0153
163968	165389	CDS	D	clcA	ECMDS42_0142	chloride channel%2C voltage-gated	b0155	JW5012	ECK0154
165471	165815	CDS	D	yadR	ECMDS42_0143	conserved protein	b0156	JW0152	ECK0155
165862	166485	CDS	C	yadS	ECMDS42_0144	conserved inner membrane protein	b0157	JW0153	ECK0156
166523	167323	CDS	C	btuF	ECMDS42_0145	vitamin B12 transporter subunit	b0158	JW0154	ECK0157
167316	168014	CDS	C	pfs	ECMDS42_0146	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	b0159	JW0155	ECK0158
168098	169615	CDS	D	dgt	ECMDS42_0147	deoxyguanosine triphosphate triphosphohydrolase	b0160	JW0156	ECK0159
169745	171169	CDS	D	degP	ECMDS42_0148	BAL37467.1	b0161	JW0157	ECK0160
171324	172481	CDS	D	cdaR	ECMDS42_0149	DNA-binding transcriptional regulator	b0162	JW5013	ECK0161
172570	172956	CDS	C	yaeH	ECMDS42_0150	conserved protein	b0163	JW0159	ECK0162
173118	173930	CDS	C	yaeI	ECMDS42_0151	predicted phosphatase	b0164	JW5014	ECK0163
173984	174808	CDS	C	dapD	ECMDS42_0152	2%2C3%2C4%2C5-tetrahydropyridine-2-carboxylate N-succinyltransferase	b0166	JW0161	ECK0164
174839	177511	CDS	C	glnD	ECMDS42_0153	uridylyltransferase	b0167	JW0162	ECK0165
177573	178367	CDS	C	map	ECMDS42_0154	methionine aminopeptidase	b0168	JW0163	ECK0166
178735	179460	CDS	D	rpsB	ECMDS42_0156	30S ribosomal subunit protein S2	b0169	JW0164	ECK0168
179718	180569	CDS	D	tsf	ECMDS42_0157	protein chain elongation factor EF-Ts	b0170	JW0165	ECK0169
180716	181441	CDS	D	pyrH	ECMDS42_0158	uridylate kinase	b0171	JW0166	ECK0170
181733	182290	CDS	D	frr	ECMDS42_0159	ribosome recycling factor	b0172	JW0167	ECK0171
182382	183578	CDS	D	dxr	ECMDS42_0160	1-deoxy-D-xylulose 5-phosphate reductoisomerase	b0173	JW0168	ECK0172
183764	184525	CDS	D	ispU	ECMDS42_0161	undecaprenyl pyrophosphate synthase	b0174	JW0169	ECK0173
184538	185395	CDS	D	cdsA	ECMDS42_0162	CDP-diglyceride synthase	b0175	JW5810	ECK0174
185407	186759	CDS	D	yaeL	ECMDS42_0163	zinc metallopeptidase	b0176	JW0171	ECK0175
186789	189221	CDS	D	yaeT	ECMDS42_0164	conserved protein	b0177	JW0172	ECK0176
189343	189828	CDS	D	hlpA	ECMDS42_0165	periplasmic chaperone	b0178	JW0173	ECK0177
189832	190857	CDS	D	lpxD	ECMDS42_0166	UDP-3-O-(3-hydroxymyristoyl)-glucosamine N-acyltransferase	b0179	JW0174	ECK0178
190962	191417	CDS	D	fabZ	ECMDS42_0167	(3R)-hydroxymyristol acyl carrier protein dehydratase	b0180	JW0175	ECK0179
191421	192209	CDS	D	lpxA	ECMDS42_0168	UDP-N-acetylglucosamine acetyltransferase	b0181	JW0176	ECK0180
192209	193357	CDS	D	lpxB	ECMDS42_0169	tetraacyldisaccharide-1-P synthase	b0182	JW0177	ECK0181
193354	193950	CDS	D	rnhB	ECMDS42_0170	ribonuclease HII%2C degrades RNA of DNA-RNA hybrids	b0183	JW0178	ECK0182
193987	197469	CDS	D	dnaE	ECMDS42_0171	DNA polymerase III alpha subunit	b0184	JW0179	ECK0183
197482	198441	CDS	D	accA	ECMDS42_0172	acetylCoA carboxylase%2C carboxytransferase%2C alpha subunit	b0185	JW0180	ECK0184
198540	200681	CDS	D	ldcC	ECMDS42_0173	lysine decarboxylase 2%2C constitutive	b0186	JW0181	ECK0185
200738	201127	CDS	D	yaeR	ECMDS42_0174	predicted lyase	b0187	JW0182	ECK0186
201192	202490	CDS	D	tilS	ECMDS42_0175	tRNA(Ile)-lysidine synthetase	b0188	JW0183	ECK0187
202539	202793	CDS	C	rof	ECMDS42_0176	modulator of Rho-dependent transcription termination	b0189	JW0184	ECK0188
202786	202986	CDS	C	yaeP	ECMDS42_0177	conserved protein	b4406	JW0185	ECK0189
203152	203697	CDS	D	yaeQ	ECMDS42_0178	conserved protein	b0190	JW0186	ECK0190
203694	204116	CDS	D	yaeJ	ECMDS42_0179	conserved protein	b0191	JW0187	ECK0191
204130	204840	CDS	D	nlpE	ECMDS42_0180	lipoprotein	b0192	JW0188	ECK0192
205040	205864	CDS	C	yaeF	ECMDS42_0181	predicted lipoprotein	b0193	JW5016	ECK0193
205918	207636	CDS	C	proS	ECMDS42_0182	prolyl-tRNA synthetase	b0194	JW0190	ECK0194
207748	208455	CDS	C	yaeB	ECMDS42_0183	conserved protein	b0195	JW0191	ECK0195
208452	208856	CDS	C	rcsF	ECMDS42_0184	predicted outer membrane protein%2C signal	b0196	JW0192	ECK0196
208974	209789	CDS	C	metQ	ECMDS42_0185	DL-methionine transporter subunit	b0197	JW0193	ECK0197
209829	210482	CDS	C	metI	ECMDS42_0186	DL-methionine transporter subunit	b0198	JW0194	ECK0198
210475	211506	CDS	C	metN	ECMDS42_0187	DL-methionine transporter subunit	b0199	JW0195	ECK0199
211694	212269	CDS	D	gmhB	ECMDS42_0188	D%2CD-heptose 1%2C7-bisphosphate phosphatase	b0200	JW0196	ECK0200
218029	218832	CDS	D	dkgB	ECMDS42_0195	2%2C5-diketo-D-gluconate reductase B	b0207	JW0197	ECK0207
218829	219743	CDS	C	yafC	ECMDS42_0196	predicted DNA-binding transcriptional regulator	b0208	JW0198	ECK0208
219984	220784	CDS	D	yafD	ECMDS42_0197	conserved protein	b0209	JW5017	ECK0209
220788	221411	CDS	D	yafE	ECMDS42_0198	predicted S-adenosyl-L-methionine-dependent methyltransferase	b0210	JW0200	ECK0210
221459	222817	CDS	C	mltD	ECMDS42_0199	predicted membrane-bound lytic murein transglycosylase D	b0211	JW5018	ECK0211
222889	223644	CDS	C	gloB	ECMDS42_0200	predicted hydroxyacylglutathione hydrolase	b0212	JW0202	ECK0212
223678	224400	CDS	D	yafS	ECMDS42_0201	predicted S-adenosyl-L-methionine-dependent methyltransferase	b0213	JW0203	ECK0213
224397	224864	CDS	C	rnhA	ECMDS42_0202	ribonuclease HI%2C degrades RNA of DNA-RNA hybrids	b0214	JW0204	ECK0214
224929	225660	CDS	D	dnaQ	ECMDS42_0203	DNA polymerase III epsilon subunit	b0215	JW0205	ECK0215
226197	226982	CDS	D	yafT	ECMDS42_0205	predicted aminopeptidase	b0217	JW0206	ECK0217
227608	227946	CDS	C	yafU	ECMDS42_0206	predicted inner membrane protein	b0218	JW0207	ECK0218
228052	228240	CDS	D	yafF	ECMDS42_0207	conserved protein	b4503	JW0208	ECK0219
228281	229051	CDS	C	yafV	ECMDS42_0208	predicted C-N hydrolase family amidase%2C NAD(P)-binding	b0219	JW5019	ECK0220
229205	229678	CDS	D	ivy	ECMDS42_0209	inhibitor of vertebrate C-lysozyme	b0220	JW0210	ECK0221
229721	232165	CDS	C	fadE	ECMDS42_0210	acyl coenzyme A dehydrogenase	b0221	JW5020	ECK0222
232405	232983	CDS	D	lpcA	ECMDS42_0211	D-sedoheptulose 7-phosphate isomerase	b0222	JW0212	ECK0223
233189	233956	CDS	D	yafJ	ECMDS42_0212	predicted amidotransfease	b0223	JW0213	ECK0224
233927	234667	CDS	C	yafK	ECMDS42_0213	conserved protein	b0224	JW0214	ECK0225
234823	235101	CDS	C	yafQ	ECMDS42_0214	predicted toxin of the YafQ-DinJ toxin-antitoxin system	b0225	JW0215	ECK0226
235104	235364	CDS	C	dinJ	ECMDS42_0215	predicted antitoxin of YafQ-DinJ toxin-antitoxin system	b0226	JW0216	ECK0227
235574	236323	CDS	D	yafL	ECMDS42_0216	predicted lipoprotein and C40 family peptidase	b0227	JW0217	ECK0228
236499	236996	CDS	D	yafM	ECMDS42_0217	conserved protein	b0228	JW0218	ECK0229
239760	240815	CDS	D	dinB	ECMDS42_0220	DNA polymerase IV	b0231	JW0221	ECK0232
240867	241160	CDS	D	yafN	ECMDS42_0221	predicted antitoxin of the YafO-YafN toxin-antitoxin system	b0232	JW0222	ECK0233
241163	241561	CDS	D	yafO	ECMDS42_0222	predicted toxin of the YafO-YafN toxin-antitoxin system	b0233	JW0223	ECK0234
241571	242023	CDS	D	yafP	ECMDS42_0223	predicted acyltransferase with acyl-CoA N-acyltransferase domain	b0234	JW0224	ECK0235
242329	242595	CDS	D	ykfJ	ECMDS42_0224	conserved protein	b0235	JW0225	ECK0236
242564	243064	CDS	D	prfH	ECMDS42_0225	predicted peptide chain release factor	b0236	JW0226	ECK0237
243121	244578	CDS	C	pepD	ECMDS42_0226	aminoacyl-histidine dipeptidase	b0237	JW0227	ECK0238
244839	245297	CDS	D	gpt	ECMDS42_0227	guanine-hypoxanthine phosphoribosyltransferase	b0238	JW0228	ECK0239
245389	246633	CDS	D	frsA	ECMDS42_0228	hydrolase%2C binds to enzyme IIA(Glc)	b0239	JW0229	ECK0240
246691	247092	CDS	D	crl	ECMDS42_0229	DNA-binding transcriptional regulator	b0240	JW0230	ECK0241
247131	248186	CDS	C	phoE	ECMDS42_0230	outer membrane phosphoporin protein E	b0241	JW0231	ECK0242
248474	249577	CDS	D	proB	ECMDS42_0231	gamma-glutamate kinase	b0242	JW0232	ECK0243
249589	250842	CDS	D	proA	ECMDS42_0232	gamma-glutamylphosphate reductase	b0243	JW0233	ECK0244
251766	253436	CDS	C	betA	ECMDS42_0234	choline dehydrogenase%2C a flavoprotein	b0311	JW0303	ECK0309
253450	254922	CDS	C	betB	ECMDS42_0235	betaine aldehyde dehydrogenase%2C NAD-dependent	b0312	JW0304	ECK0310
254936	255523	CDS	C	betI	ECMDS42_0236	DNA-binding transcriptional repressor	b0313	JW0305	ECK0311
255652	257685	CDS	D	betT	ECMDS42_0237	choline transporter of high affinity	b0314	JW0306	ECK0312
258560	259648	CDS	D	yahA	ECMDS42_0238	predicted DNA-binding transcriptional regulator	b0315	JW0307	ECK0313
259690	260622	CDS	C	yahB	ECMDS42_0239	predicted DNA-binding transcriptional regulator	b0316	JW0308	ECK0314
260714	261211	CDS	C	yahC	ECMDS42_0240	predicted inner membrane protein	b0317	JW0309	ECK0315
261469	262074	CDS	D	yahD	ECMDS42_0241	predicted transcriptional regulator with ankyrin domain	b0318	JW0310	ECK0316
262114	262977	CDS	D	yahE	ECMDS42_0242	predicted protein	b0319	JW0311	ECK0317
262967	264514	CDS	D	yahF	ECMDS42_0243	predicted acyl-CoA synthetase with NAD(P)-binding domain and succinyl-CoA synthetase domain	b0320	JW0312	ECK0318
264514	265932	CDS	D	yahG	ECMDS42_0244	conserved protein	b0321	JW0313	ECK0319
265982	266278	CDS	D	yahH	ECMDS42_0245	predicted protein	b0322	JW5893	ECK0320
266354	267304	CDS	D	yahI	ECMDS42_0246	predicted carbamate kinase-like protein	b0323	JW0315	ECK0321
267314	268696	CDS	D	yahJ	ECMDS42_0247	predicted deaminase with metallo-dependent hydrolase domain	b0324	JW0316	ECK0322
269073	270122	CDS	D	yahK	ECMDS42_0248	predicted oxidoreductase%2C Zn-dependent and NAD(P)-binding	b0325	JW0317	ECK0323
270365	271180	CDS	D	yahL	ECMDS42_0249	predicted protein	b0326	JW0318	ECK0324
271593	271838	CDS	D	yahM	ECMDS42_0250	predicted protein	b0327	JW5044	ECK0325
